Instance Name; Instance ID, AWS Region
SC-PROD-EW1-B_VideoWorker_i-d2113e9f;i-d2113e9f;
SC-STAGE-EW1-A_STDWorker_i-6240462f;i-6240462f;
SC-PROD-EW1-B_XMPWorker_i-7682a43b;i-7682a43b;
SC-PROD-UE1-B_ExportPDFWorker_i-18c9d07b;i-18c9d07b;
SC-PROD-EW1-B_VideoStreamingWorker_i-7c732b31;i-7c732b31;
SC-PROD-EW1-B_STDWorker_i-8c4208c1;i-8c4208c1;
SC-LABS_PSLWorker_i-5438eb31;i-5438eb31;
SC-PROD-EW1-A_PSLWorker_i-ebdb3aa7;i-ebdb3aa7;
SC-STAGE-UE1-A_STDWorker_i-1644cd7d;i-1644cd7d;
SC-STAGE-EW1-A_STDWorker_i-e24147af;i-e24147af;
SC-PROD-AN1-B_PDFWorker_i-82015780;i-82015780;
SC-DEV-EU-QE1_VideoStreamingWorker_i-0e3f0843;i-0e3f0843;
SC-PROD-EW1-B_PSLWorker_i-ba792ef7;i-ba792ef7;
SC-PROD-EW1-B_VideoStreamingWorker_i-ce062f83;i-ce062f83;
SC-DEV-QE2_MatroshkaContainer_i-3d858c5d;i-3d858c5d;
SC-PROD-EW1-B_IDWorker_i-8c5108c1;i-8c5108c1;
SC-PROD-EW1-A_PSLWorker_i-ec5444a1;i-ec5444a1;
SC-DEV-QE2_CRWorker_i-d0d0f5ba;i-d0d0f5ba;
SC-PROD-UE1-B_ExportPDFWorker_i-adb27bc0;i-adb27bc0;
SC-STAGE-UE1-A_VideoStreamingWorker_i-17e2147f;i-17e2147f;
SC-STAGE-UE1-A_ServiceContainer_i-701a6913;i-701a6913;
SC-STAGE-EW1-A_STDWorker_i-dc242391;i-dc242391;
SC-PROD-EW1-B_ExportPDFWorker_i-ce420883;i-ce420883;
SC-PROD-EW1-B_VideoStreamingWorker_i-98184ad5;i-98184ad5;
SC-PROD-UE1-B_ServiceContainer_i-5a1c7e39;i-5a1c7e39;
SC-LABS_PabloWorker_i-5aa26331;i-5aa26331;
SC-DEV-EU-QE1_DetectKernelRegionWorker_i-6a2f1827;i-6a2f1827;
SC-PROD-EW1-A_CRWorker_i-5c514c11;i-5c514c11;
SC-PROD-EW1-A_VideoWorker_i-630bea2f;i-630bea2f;
SC-STAGE-EW1-A_PSLWorker_i-5c2b3d11;i-5c2b3d11;
SC-STAGE-EW1-A_STDWorker_i-ec4543a1;i-ec4543a1;
SC-DEV-QE2_CollageWorker_i-78883d13;i-78883d13;
SC-PROD-EW1-A_VideoStreamingWorker_i-34322379;i-34322379;
SC-PROD-AN1-B_ServiceContainer_i-aeffa8ac;i-aeffa8ac;
SC-LABS_RayTracingWorker_i-dd0da9bd;i-dd0da9bd;
SC-PROD-UE1-B_ExportPDFWorker_i-06332265;i-06332265;
SC-PROD-UE1-B_CreatePDFWorker-DOC_i-75444318;i-75444318;
SC-DEV-STABLE-B_ServiceContainer_i-6c38730f;i-6c38730f;
SC-PROD-EW1-B_VideoRightsWorker_i-e03569ad;i-e03569ad;
SC-STAGE-UE1-A_PSLWorker_i-49e6bc2b;i-49e6bc2b;
SC-PROD-UE1-B_CreatePDFWorker-DOC_i-9d446cff;i-9d446cff;
SC-PROD-UE1-B_ExportPDFWorker_i-b1bd5fd1;i-b1bd5fd1;
SC-PROD-UE1-B_PDFWorker_i-25aeaf45;i-25aeaf45;
SC-LABS_WatermarkWorker_i-28562e46;i-28562e46;
SC-STAGE-UE1_AMSServer_i-e097ec88;i-e097ec88;
SC-STAGE-EW1-A_ServiceContainer_i-8e1013c3;i-8e1013c3;
SC-LABS_VooooWorker_i-beb188d5;i-beb188d5;
SC-PROD-UE1-B_ExportPDFWorker_i-36ce665a;i-36ce665a;
SC-PROD-EW1-B_VideoWorker_i-8a2e07c7;i-8a2e07c7;
SC-STAGE-EW1-A_ServiceContainer_i-5e171413;i-5e171413;
SC-PROD-EW1-B_VideoWorker_i-48540e05;i-48540e05;
SC-PROD-UE1-B_ExportPDFWorker_i-bf5b64d2;i-bf5b64d2;
SC-STAGE-EW1-A_OscarContainer_i-e62522ab;i-e62522ab;
SC-PROD-EW1-B_VideoStreamingWorker_i-887d53c5;i-887d53c5;
SC-STAGE-EW1-A_ServiceContainer_i-40393f0d;i-40393f0d;
SC-STAGE-AN1-A_VideoStreamingWorker_i-2426c820;i-2426c820;
MONGO-SC-STAGE-EW1-PERMANENT_MongoDB-RS02N02_i-463c500b;i-463c500b;
SC-PROD-EW1-B_VideoRightsWorker_i-ec2e29a1;i-ec2e29a1;
